# Gene set generated on 2021-12-24T11:47:22 using cellxgene version 2.0.5
# Input data file was /Users/alexander.tarashansky/excellxgene/example-dataset/pbmc3k.h5ad, which was last modified on 2021-12-24T11:18:08
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TMSB4X,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RPL23,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",NBEAL1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-B,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RPS11,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RPS24,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",OAZ1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",H3F3B,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PFN1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SH3BGRL3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RPL8,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LYZ,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LGALS1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",MYL6,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",FOS,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",GAPDH,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PPIA,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PABPC1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LSP1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",VIM,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CORO1A,
